address, project, token_address, details
0x2f0b23f53734252bda2277357e97e1517d6b042a,MakerDAO,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH A
0x08638ef1a205be6762a8b935f5da9b700cf7322c,MakerDAO,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH B
0x3d0b1912b66114d4096f48a8cee3a56c231772ca,MakerDAO,0x0d8775f648430679a709e98d2b0cb6250d2887ef,BAT
0xa191e578a6736167326d05c119ce0c90849e84b7,MakerDAO,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC A
0x2600004fd1585f7270756ddc88ad9cfa10dd0428,MakerDAO,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC B
0x4454af7c8bb9463203b66c816220d41ed7837f44,MakerDAO,0x0000000000085d4780b73119b644ae5ecd22b376,TUSD
0xc7e8cd72bdee38865b4f5615956ef47ce1a7e5d0,MakerDAO,0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX
0x475f1a89c1ed844a08e8f6c50a00228b5e59e4a9,MakerDAO,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,KNC
0xa6ea3b9c04b8a38ff5e224e7c3d6937ca44c0ef9,MakerDAO,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Mana
0x0ac6a1d74e84c2df9063bddc31699ff2a2bb22a2,MakerDAO,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT
0x7e62b7e279dfc78deb656e34d6a435cc08a44666,MakerDAO,0x8e870d67f660d95d5be530380d0ec0bd388289e1,PAXUSD
0xbea7cdfb4b49ec154ae1c0d731e4dc773a3265aa,MakerDAO,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP
0x6c186404a7a238d3d6027c0299d1822c1cf5d8f1,MakerDAO,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC
0xdfccaf8fdbd2f4805c174f856a317765b49e4a50,MakerDAO,0x514910771af9ca656af840dff83e8264ecf986ca,LINK
0xbf72da2bd84c5170618fbe5914b0eca9638d5eb5,MakerDAO,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC
0x4a03aa7fb3973d8f0221b466eefb53d0ac195f55,MakerDAO,0xba100000625a3754423978a60c9317c58a424e3d,BAL
0x3ff33d9162ad47660083d7dc4bc02fb231c81677,MakerDAO,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,YFI
0xe29a14bcdea40d83675aa43b72df07f649738c8b,MakerDAO,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,GUSD
0x3bc3a58b4fc1cbe7e98bb4ab7c99535e8ba9b8f1,MakerDAO,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI
0xfd5608515a47c37afba68960c1916b79af9491d0,MakerDAO,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,RENBTC