Pool Name,Pool Address,Stake Token,Stake Token Address,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
Badger: Vault (Badger setts),0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28,Badger,0x3472a5a71965499acd81997a54bba8d852c6e53d,Badger,0x3472a5a71965499acd81997a54bba8d852c6e53d,,,,
Badger: Vault (renCrv setts),0x6def55d2e18486b9ddfaa075bc4e4ee0b28c1545,Curve.fi renBTC/wBTC,0x49849c98ae39fff122806c06791fa73784fb3675,Curve.fi renBTC/wBTC,0x49849c98ae39fff122806c06791fa73784fb3675,,,,
Badger: Vault (sbtcCrv setts),0xd04c48a53c111300ad41190d63681ed3dad998ec,Curve.fi renBTC/wBTC/sBTC,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,Curve.fi renBTC/wBTC/sBTC,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,,,,
Badger: Vault (tbtcCrv setts),0xb9d076fde463dbc9f915e5392f807315bf940334,Curve.fi tBTC/sbtcCrv,0x64eda51d3ad40d56b9dfc5554e06f94e1dd786fd,Curve.fi tBTC/sbtcCrv,0x64eda51d3ad40d56b9dfc5554e06f94e1dd786fd,,,,
Badger: Vault (harvest.renCrv sett),0xaf5a1decfa95baf63e0084a35c62592b774a2a87,Curve.fi renBTC/wBTC,0x49849c98ae39fff122806c06791fa73784fb3675,Curve.fi renBTC/wBTC,0x49849c98ae39fff122806c06791fa73784fb3675,,,,
Badger: Vault (uniBadgerWbtc sett),0x235c9e24d3fb2fafd58a2e49d454fdcd2dbf7ff1,Uniswap WBTC/BADGER LP,0xcd7989894bc033581532d2cd88da5db0a4b12859,Uniswap WBTC/BADGER LP,0xcd7989894bc033581532d2cd88da5db0a4b12859,,,,
uniDiggWbtc,0xc17078fdd324cc473f8175dc5290fae5f2e84714,Uniswap WBTC/DIGG LP,0xe86204c4eddd2f70ee00ead6805f917671f56c52,Uniswap WBTC/DIGG LP,0xe86204c4eddd2f70ee00ead6805f917671f56c52,,,,
sushiWbtcEth,0x758a43ee2bff8230eeb784879cdcff4828f2544d,SushiSwap WBTC/ETH LP,0xceff51756c56ceffca006cd410b03ffc46dd3a58,SushiSwap WBTC/ETH LP,0xceff51756c56ceffca006cd410b03ffc46dd3a58,,,,
sushiBadgerWbtc,0x1862a18181346ebd9edaf800804f89190def24a5,SushiSwap WBTC/BADGER LP,0x110492b31c59716ac47337e616804e3e3adc0b4a,SushiSwap WBTC/BADGER LP,0x110492b31c59716ac47337e616804e3e3adc0b4a,,,,
sushiDiggWbtc,0x88128580acdd9c04ce47afce196875747bf2a9f6,SushiSwap WBTC/DIGG LP,0x9a13867048e01c663ce8ce2fe0cdae69ff9f35e3,SushiSwap WBTC/DIGG LP,0x9a13867048e01c663ce8ce2fe0cdae69ff9f35e3,,,,
digg,0x7e7e112a68d8d2e221e11047a72ffc1065c38e1a,Digg,0x798d1be841a82a273720ce31c822c61a67a601c3,Digg,0x798d1be841a82a273720ce31c822c61a67a601c3,,,,
wBtc,0x4b92d19c11435614cd49af1b589001b7c08cd4d5,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,,,,
Badger Sett Convex CRV,0x2b5455aac8d64c14786c3a29858e43b5945819c0,Convex CRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,Convex CRV,0x62b9c7356a2dc64a1969e19c23e4f579f9810aa7,,,,
Badger Sett Convex Token,0x53c8e199eb2cb7c01543c137078a038937a68e40,Convex Token,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,Convex Token,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,,,,
Badger Sett Curve.fi USD-BTC-ETH,0x27e98fc7d05f54e544d16f58c194c2d7ba71e3b5,Curve.fi USD-BTC-ETH,0xc4ad29ba4b3c580e6d59105fff484999997675ff,Curve.fi USD-BTC-ETH,0xc4ad29ba4b3c580e6d59105fff484999997675ff,,,,
Badger Sett Curve.fi hBTC/wBTC,0x8c76970747afd5398e958bdfada4cf0b9fca16c4,Curve.fi hBTC/wBTC,0xb19059ebb43466c323583928285a49f558e572fd,Curve.fi hBTC/wBTC,0xb19059ebb43466c323583928285a49f558e572fd,,,,
Badger Sett Curve.fi pBTC/sbtcCRV,0x55912d0cf83b75c492e761932abc4db4a5cb1b17,Curve.fi pBTC/sbtcCRV,0xde5331ac4b3630f94853ff322b66407e0d6331e8,Curve.fi pBTC/sbtcCRV,0xde5331ac4b3630f94853ff322b66407e0d6331e8,,,,
Badger Sett Curve.fi oBTC/sbtcCRV,0xf349c0faa80fc1870306ac093f75934078e28991,Curve.fi oBTC/sbtcCRV,0x2fe94ea3d5d4a175184081439753de15aef9d614,Curve.fi oBTC/sbtcCRV,0x2fe94ea3d5d4a175184081439753de15aef9d614,,,,
Badger Sett Curve.fi bBTC/sbtcCRV,0x5dce29e92b1b939f8e8c60dcf15bde82a85be4a9,Curve.fi bBTC/sbtcCRV,0x410e3e86ef427e30b9235497143881f717d93c2a,Curve.fi bBTC/sbtcCRV,0x410e3e86ef427e30b9235497143881f717d93c2a,,,,
Badger Sett SushiSwap LP Token,0x8a8ffec8f4a0c8c9585da95d9d97e8cd6de273de,SushiSwap LP Token,0x18d98d452072ac2eb7b74ce3db723374360539f1,SushiSwap LP Token,0x18d98d452072ac2eb7b74ce3db723374360539f1,,,,
Badger Sett Curve.fi USD-BTC-ETH,0xbe08ef12e4a553666291e9ffc24fccfd354f2dd2,Curve.fi USD-BTC-ETH,0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,Curve.fi USD-BTC-ETH,0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,,,,
Badger: Staking Badger setts,0xa9429271a28f8543efffa136994c0839e7d7bf77,Badger Sett Badger ,0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28,Badger Sett Badger ,0x19d97d8fa813ee2f51ad4b4e04ea08baf4dffc28,,,,
Badger: Staking renCrv setts,0x2296f174374508278dc12b806a7f27c87d53ca15,Badger Sett Curve.fi renBTC/wBTC,0x6def55d2e18486b9ddfaa075bc4e4ee0b28c1545,Badger Sett Curve.fi renBTC/wBTC,0x6def55d2e18486b9ddfaa075bc4e4ee0b28c1545,,,,
Badger: Staking sbtcCrv setts,0x10fc82867013fce1bd624fafc719bb92df3172fc,Badger Sett Curve.fi renBTC/wBTC/sBTC,0xd04c48a53c111300ad41190d63681ed3dad998ec,Badger Sett Curve.fi renBTC/wBTC/sBTC,0xd04c48a53c111300ad41190d63681ed3dad998ec,,,,
Badger: Staking tbtcCrv setts,0x085a9340ff7692ab6703f17ab5ffc917b580a6fd,Badger Sett Curve.fi tBTC/sbtcCrv,0xb9d076fde463dbc9f915e5392f807315bf940334,Badger Sett Curve.fi tBTC/sbtcCrv,0xb9d076fde463dbc9f915e5392f807315bf940334,,,,
Badger: Staking uniBadgerWbtc setts,0xa207d69ea6fb967e54baa8639c408c31767ba62d,Badger Sett Uniswap V2,0x235c9e24d3fb2fafd58a2e49d454fdcd2dbf7ff1,Badger Sett Uniswap V2,0x235c9e24d3fb2fafd58a2e49d454fdcd2dbf7ff1,,,,
Badger: Staking uniBadgerWbtc setts,0x612f681bcd12a0b284518d42d2dbcc73b146eb65,Badger Sett SushiSwap LP Token,0x758a43ee2bff8230eeb784879cdcff4828f2544d,Badger Sett SushiSwap LP Token,0x758a43ee2bff8230eeb784879cdcff4828f2544d,,,,
