contract_name,contract_address
ETH,0xD06527D5e56A3495252A528C4987003b712860eE
USDT,0x797AAB1ce7c01eB727ab980762bA88e7133d2157
USDC,0x44fbebd2f576670a6c33f6fc0b00aa8c5753b322
YFI,0xCbaE0A83f4f9926997c8339545fb8eE32eDc6b76
BAL,0xcE4Fe9b4b8Ff61949DCfeB7e03bc9FAca59D2Eb3
COMP,0x19D1666f543D42ef17F66E376944A22aEa1a8E46
YV,0x9baF8a5236d44AC410c0186Fe39178d5AAD0Bb87
EAM,0x892B14321a4FCba80669aE30Bd0cd99a7ECF6aC0
LINK,0x697256CAA3cCaFD62BB6d3Aa1C7C5671786A5fD9
LEND,0x8B86e0598616a8d4F1fdAE8b59E55FB5Bc33D0d6
CRV,0xc7Fd8Dcee4697ceef5a2fd4608a7BD6A94C77480
RENBTC,0x17107f40d70f4470d20CB3f138a052cAE8EbD4bE
BUSD,0x1FF8CDB51219a8838b52E9cAc09b71e591BC998e
MTA,0x3623387773010d9214B10C551d6e7fc375D31F58
YYV,0x4EE15f44c6F0d8d1136c83EfD2e8E4AC768954c6
SUSHI,0x338286C0BC081891A4Bda39C7667ae150bf5D206
FTT,0x10FDBD1e48eE2fD9336a482D746138AE19e649Db
YETH,0x01da76DEa59703578040012357b81ffE62015C2d
SRM,0xef58b2d5A1b8D3cDE67b8aB054dC5C831E9Bc025
UNI,0xe89a6D0509faF730BD707bf868d9A2A744a363C7
WNXM,0xeFF039C3c1D668f408d09dD7B63008622a77532C
SWAG,0x22B243B96495C547598D9042B6f94B01C22B2e9E
CEL,0x8b3FF1ed4F36C2c2be675AFb13CC3AA5d73685a5
DPI,0x2A537Fa9FFaea8C1A41D3C2B68a9cb791529366D
BBTC,0x7ea9C63E216D5565c3940A2B3d150e59C2907Db3
AAVE,0x3225E3C669B39C7c8B3e204a8614bB218c5e31BC
BOND,0xf55BbE0255f7f4E70f63837Ff72A577fbDDbE924
KP3R,0x903560b1CcE601794C584F58898dA8a8b789Fc5d
HBTC,0x054B7ed3F45714d3091e82aAd64A1588dC4096Ed
HFIL,0xd5103AfcD0B3fA865997Ef2984C66742c51b2a8b
ETH2,0xfd609a03B393F1A1cFcAcEdaBf068CAD09a924E2
HUSD,0xD692ac3245bb82319A31068D6B8412796eE85d2c
DAI,0x92B767185fB3B04F881e3aC8e5B0662a027A1D9f
HEGIC,0x10a3da2BB0Fae4D591476fd97D6636fd172923a8
ESD,0x3C6C553A95910F9FC81c98784736bd628636D296
COVER,0x21011bc93d9e515b9511a817a1ed1d6d468f49fc
1INCH,0x85759961b116f1D36fD697855c57A6ae40793D9B
OMG,0x7Aaa323D7e398be4128c7042d197a2545f0f1fea
UNI-V2-WBTC-ETH,0x011a014d5e8Eb4771E575bB1000318D509230Afa
UNI-V2-ETH-USDT,0xE6C3120F38F56deb38B69b65cC7dcAF916373963
UNI-V2-USDC-ETH,0x4Fe11BC316B6d7A345493127fBE298b95AdaAd85
UNI-V2-DAI-ETH,0xcD22C4110c12AC41aCEfA0091c432ef44efaAFA0
XSUSHI,0x228619CCa194Fbe3Ebeb2f835eC1eA5080DaFbb2
SLP-WBTC-ETH,0x73f6cBA38922960b7092175c0aDD22Ab8d0e81fC
SLP-DAI-ETH,0x38f27c03d6609a86FF7716ad03038881320BE4Ad
SLP-USDC-ETH,0x5EcaD8A75216CEa7DFF978525B2D523a251eEA92
SLP-ETH-USDT,0x5C291bc83d15f71fB37805878161718eA4b6AEe9
SLP-SUSHI-ETH,0x6BA0C66C48641e220CF78177C144323b3838D375
SLP-YFI-ETH,0xd532944df6DFd5Dd629E8772F03D4fC861873abF
WBTC,0x197070723CE0D3810a0E47F06E935c30a480D4Fc
SNX,0xC25EAE724f189Ba9030B2556a1533E7c8A732E14
SUSD,0x25555933a8246Ab67cbf907CE3d1949884E82B55
PICKLE,0xc68251421edda00a10815e273fa4b1191fac651b
AKRO,0x65883978aDA0e707c3b2BE2A6825b1C4BDF76A90
BBADGER,0x8B950f43fCAc4931D408F1fcdA55C6CB6cbF3096
OGN,0x59089279987DD76fC65Bf94Cb40E186b96e03cB3
AMP,0x2Db6c82CE72C8d7D770ba1b5F5Ed0b6E075066d6
FRAX,0xb092b4601850E23903A42EaCBc9D8A0EeC26A4d5
ALPHA,0x1d0986Fb43985c88Ffa9aD959CC24e6a087C7e35
UST,0x51F48b638F82e8765F7a26373A2Cb4CcB10C07af
FTM,0xc36080892c64821fa8e396bc1bD8678fA3b82b17
RUNE,0x8379BAA817c5c5aB929b03ee8E3c48e45018Ae41
PERP,0x299e254A8a165bBeB76D9D69305013329Eea3a3B
RAI,0xf8445C529D363cE114148662387eba5E62016e20
OCEAN,0x7C3297cFB4c4bbd5f44b450c0872E0ADA5203112
YVEV,0xA87e8e61dfAC8af5944D353Cd26B96B20d5f4D01
YVSTEV,0x1bcaFA2C1b3a522E41bAa60C2E318981Ea8D1eb5
YVCurve-IB,0xf7c5314806bb349744Cf5E721F4d3395259B8531
RARI,0x081FE64df6dc6fc70043aedF3713a3ce6F190a21
SFI,0x28526Bb33d7230E65E735dB64296413731C5402e
YVCurve-IB,0x45406ba53bB84Cd32A58e7098a2D4D1b11B107F6
YVCurve-sETH,0x6d1B9e01aF17Dd08d6DEc08E210dfD5984FF1C20
YVCurve-stETH,0x1F9b4756B008106C806c7E64322d7eD3B72cB284
ARMOR,0xab10586C918612BA440482db77549d26B7ABF8f7
ARNXM,0xdFFf11DFe6436e42a17B86e7F419Ac8292990393
MLN,0xDbb5e3081dEf4b6cdD8864aC2aeDA4cBf778feCf
VSP,0x71cEFCd324B732d4E058AfAcBA040d908c441847
VVSP,0x1A122348B73B58eA39F822A89e6ec67950c2bBD0
GNO,0x523EFFC8bFEfC2948211A05A905F761CBA5E8e9E
YVWETH,0x4202D97E00B9189936EdF37f8D01cfF88BDd81d4
YUSD,0x4BAa77013ccD6705ab0522853cB0E9d453579Dd4
SWAP,0x98E329eB5aae2125af273102f3440DE19094b77c
FEI,0x8C3B7a4320ba70f8239F83770c4015B5bc4e6F91
WOO,0xE585c76573D7593ABF21537B607091F76c996E73
BNT,0x81E346729723C4D15d0FB1c5679b9f2926Ff13C6
EURT,0xC581b735A1688071A1746c968e0798D642EDE491
PAX,0xD7394428536F63d5659cc869EF69d10f9E66314B
PAXG,0x1241B10E7EA55b22f5b2d007e8fECDF73DCff999
IBBTC,0x2A867fd776B83e1bd4e13C6611AFd2F6af07EA6D
LON,0x250Fb308199FE8C5220509C1bf83D21d60b7f74A
YGG,0x4112a717edD051F77d834A6703a1eF5e3d73387F
AXS,0xF04ce2e71D32D789a259428ddcD02D3C9F97fb4E
SAND,0x89e42987c39f72e2EAd95a8a5bC92114323d5828
MANA,0x58DA9c9fC3eb30AbBcbBAb5DDabb1E6e2eF3d2EF