address,name,description
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,3pool,Curve.fi DAI/USDC/USDT
0xdebf20617708857ebe4f679508e7b7863a8a8eee,aave,Curve.fi aDAI/aUSDC/aUSDT
0xa96a65c051bf88b4095ee1f2451c2a9d43f53ae2,ankreth,Curve.fi ETH/aETH
0xc45b2eee6e09ca176ca3bb5f7eee7c47bf93c756,bbtc,Curve.fi bBTC/sbtcCRV
0xb6c057591e073249f2d9d88ba59a46cfc9b59edb,BUSD,Curve.fi yDAI/yUSDC/yUSDT/yBUSD
0xeb21209ae4c2c9ff2a86aca31e123764a3b6bc06,Compound,Curve.fi cDAI/cUSDC
0x61e10659fe3aa93d036d099405224e4ac24996d0,dusd,Curve.fi DUSD/3Crv
0x0ce6a5ff5217e38315f87032cf90686c96627caa,eurs,Curve.fi EURS/sEUR
0x64448b78561690b70e17cbe8029a3e5c1bb7136e,gusd,Curve.fi GUSD/3Crv
0x4ca9b3063ec5866a4b82e437059d2c43d1be596f,hbtc,Curve.fi hBTC/wBTC
0x09672362833d8f703d5395ef3252d4bfa51c15ca,husd,Curve.fi HUSD/3Crv
0x2dded6da1bf5dbdf597c45fcfaa3194e53ecfeaf,ironbank,Curve.fi cyDAI/cyUSDC/cyUSDT
0xf178c0b5bb7e7abf4e12a4838c7b7c5ba2c623c0,link,Curve.fi LINK/sLINK
0x1de7f0866e2c4adac7b457c58cc25c8688cda1f2,linkusd,Curve.fi LinkUSD/3Crv
0x803a2b40c5a9bb2b86dd630b274fa2a9202874c2,musd,Curve.fi MUSD/3Crv
0xd5bcf53e2c81e1991570f33fa881c49eea570c8d,obtc,Curve.fi oBTC/sbtcCRV
0xa50ccc70b6a011cffddf45057e39679379187287,PAX,Curve.fi DAI/USDC/USDT/PAX
0x11f419adabbff8d595e7d5b223eee3863bb3902c,pbtc,Curve.fi pBTC/sbtcCRV
0x93054188d876f558f4a66b2ef1d97d16edf0895b,ren,Curve.fi renBTC/wBTC
0xf9440930043eb3997fc70e1339dbb11f341de7a8,reth,Curve.fi ETH/rETH
0xbe175115bf33e12348ff77ccfee4726866a0fbd5,rsv,Curve.fi RSV/3Crv
0xeb16ae0052ed37f479f7fe63849198df1765a733,saave,Curve.fi aDAI/aSUSD
0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,sbtc,Curve.fi renBTC/wBTC/sBTC
0xc5424b857f758e906013f3555dad202e4bdb4567,seth,Curve.fi ETH/sETH
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,steth,Curve.fi ETH/stETH
0xfcba3e75865d2d561be8d220616520c171f12851,sUSD,Curve.fi DAI/USDC/USDT/sUSD
0xaa82ca713d94bba7a89ceab55314f9effeddc78c,tbtc,Curve.fi tBTC/sbtcCRV
0xf1f85a74ad6c64315f85af52d3d46bf715236adc,usdk,Curve.fi USDK/3Crv
0x094d12e5b541784701fd8d65f11fc0598fbc6332,usdn,Curve.fi USDN/3Crv
0x3c8caee4e09296800f8d29a68fa3837e2dae4940,usdp,Curve.fi USDP/3Crv
0xac795d2c97e60df6a99ff1c814727302fd747a80,USDT,Curve.fi cDAI/cUSDC/USDT
0xb0a0716841f2fc03fba72a891b8bb13584f52f2d,ust,Curve.fi UST/3Crv
0xbbc81d23ea2c3ec7e56d39296f0cbb648873a5d3,Y,Curve.fi yDAI/yUSDC/yUSDT/yTUSD