Pool Name,pool ID,Pool Address,Stake Token,Stake Token Address,Earn Token1,Earn Token 1 Address,Earn Token2,Earn Token 2 Address,Earn Token3,Earn Token 3 Address
WETH,WETH,0x3DA9D911301f8144bdF5c3c67886e5373DCdff8e,fWETH,0xFE09e53A81Fe2808bc493ea64319109B5bAa573e,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
PHTR-ETH,SUSHI-PHTR-ETH,0x6B671290B51446C4CD01a2731f72fdA1d180f270,fSLP,0x3Cf83c7A8674112f680E4af893EbaFc7beF48574,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,PHTR,0xe1fc4455f62a6e89476f1072530c20cf1a0622da,,
PHTR-FARM,SUSHI-PHTR-FARM,0x6CE6b6c9BDa2348dea69D827314E2C1419843792,fSLP,0xa85f818A4634c13E8Be795240e9ACA2CB7C70CcF,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,PHTR,0xe1fc4455f62a6e89476f1072530c20cf1a0622da,,
Uniswap V3: ETH-sETH2,UniV3_ETH_sETH2,0x11301B7C82Cd953734440aaF0D5Dd0B36E2aB1d8,fUniV3_WETH_sETH2,0x65383Abd40f9f831018dF243287F7AE3612c62AC,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Liquity: LQTY,LQTY,0x1997e59399bad38068b07D20d64bBdbC6882501b,fLQTY,0xCf16b17A215D1728b0a36a30A57BeAaf7845F334,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Shapeshift: FOX-WETH,Uni_FOX_WETH,0x34D358cd25e4BBdcf7D30887c55FE68E0F25dC65,fUNI-V2,0x9AF516e9095069972528eeba8E55275e31fE7734,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
CRV:TriCrypto,crvTriCrypto,0xfbFBE380489882831DAD5258cFD2e29307E23B82,fcrvTricrypto,0x33ED34dD7C40EF807356316B484d595dDDA832ab,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
iFARM,FARM,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
FARMStead USDC-24,FARMSteadUSDC,0x95D2e18C069175523F56B617F96be7575E381547,fUSDC-24,0xf6BD560131c1BB8591Cf864cDD51817FD5657061,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: zUSD-ETH,UniV3_zUSD_ETH,0xb5f7FD6fC1A0F0B606D6F65F656af79e12c310b7,fUniV3_zUSD_WETH,0xC1aa3966008ef13B9dD2867D41cA21d9C42932A1,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,zUSD,0x76417E660DF3E5c90C0361674C192da152A806E4,,
Uniswap V3: REI-ETH,UniV3_REI_ETH,0xf9BcABd9886Ec2BA1467aCdeBE040077EE61bEe6,fUniV3_REI_WETH,0xeC665d477812C11Bf163841C83322FB4743D1Cfa,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,zUSD,0x76417E660DF3E5c90C0361674C192da152A806E4,,
Uniswap V3: REI-WBTC,UniV3_REI_wBTC,0xDdcaA7Df52674b7a64C37F6D347E4489a5593039,fUniV3_REI_WBTC,0x8e1de189195a76baF8871f70AdcD090aD06a0B58,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,zUSD,0x76417E660DF3E5c90C0361674C192da152A806E4,,
Balancer: BAL-WETH,bal_BAL_WETH,0xd127474B8F38561819A6CB3E38572A99050c1128,fB-80BAL-20WETH,0x12dB4A4C442944A10eD153Db64C500BEb006039f,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Balancer: DAI-WETH,bal_DAI_WETH,0x2bd2Ba6cCa8A9e1FfbCdFe9a3cCF7fB7d4F83EC4,fB-60WETH-40DAI,0x3860BD4f060C2F4b44596b537507FFeE9459B3F5,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Balancer: USDC-WETH,bal_USDC_WETH,0xA7336377C882F511b1DBFB4C8649117Edf593caB,fB-50USDC-50WETH,0xA10a749A5A2a2D3f0c0317a92c3e9159Df567E34,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Balancer: USDT-WETH,bal_USDT_WETH,0x5AAB6C393c641B1AB1f32E61F9A81640008C22b0,fB-50WETH-50USDT,0x14e7a00109d95C6340799a108133F4427161d865,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Balancer: WBTC-WETH,bal_WBTC_WETH,0x277C218336e0935B5e5cbDe90B96Da59ce34B2e4,fB-50WBTC-50WETH,0xd91b06CE5A57d271F605Bd58d31184B670032145,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: USDC-ETH,UniV3_USDC_ETH,0x8AB3342a692935a8ad23214d7403403D224d2ba4,fUniV3_USDC_WETH,0x0b4C4EA418Cd596B1204C0dd07E419707149C7C6,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: ETH-USDT,UniV3_ETH_USDT,0xd2d19439E84fcBaA7D4C755b3E15B1cB67CeA17B,fUniV3_WETH_USDT,0x5c49E0386215077d1A3eCc425CC30ce34Ec08B60,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: DAI-ETH,Univ3_DAI_ETH_1400_2400,0xBa20df1C78eD7CE835035e49Dc0389fF11224a76,fUniV3_DAI_WETH,0xC905ccc1a1EC21C8bbE0c0b53d3D048D9055D4bB,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: DAI-ETH,UniV3_DAI_ETH,0xA9e60dD0eF825A1009B37EDb75B312BdA5Ad1A51,fUniV3_DAI_WETH,0x970CC1E0Bdb3B29a6A12BDE1954A8509acbC9158,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: BUSD-USDC,Univ3_BUSD_USDC,0xDC1873C8E58e925D530b94FF14b0Aa4121b04d1F,fUniV3_BUSD_USDC,0x7095b06C02B66e4133F7B4b078B2720CB4437408,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: RENBTC-WBTC,Univ3_renBTC_wBTC,0xAA6f97dFE0BA937E311D216972707fD886886e75,fUniV3_WBTC_renBTC,0x7Fb7E4aE3a174E24e6Fd545BbF6E9fC5a14162Cc,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: UST-USDT,UniV3_UST_USDT,0x611aC252ED4bF54b7980ff64bc94058F5Dcb5bB2,fUniV3_UST_USDT,0x1851A8fA2ca4d8Fb8B5c56EAC1813Fd890998EFc,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,LUNA,0xd2877702675e6cEb975b4A1dFf9fb7BAF4C91ea9,,
Uniswap V3: USDC-USDT,UniV3_USDC_USDT,0xAe8d48De831a64787DDC3AC67Fd93Fd10b008606,fUniV3_USDC_USDT,0xe29385F6B90F25082972B75ccBC69900cE8A176A,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: WBTC-ETH,UniV3_WBTC_ETH,0xd18F256b380b30d7Aa24c504b39f7320dF1b2dbE,fUniV3_WBTC_WETH,0x2357685B07469eE80A389819C7A41edCD70cd88C,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: DAI-USDC,UniV3_DAI_USDC,0x174678B2632910e97BfDf284FA0583ba717b980F,fUniV3_DAI_USDC,0xFb387177fF9Db15294F7Aebb1ea1e941f55695bc,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: UNI-ETH,UniV3_UNI_ETH,0x2579687F556C963b607a8E44c1FbA0F363D2AA11,fUniV3_UNI_WETH,0x3F16b084Ff94c8a3f5A1b60834046f1febD15595,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
Uniswap V3: FCASH-USDC,UniV3_FCASH_USDC,0xC02f8fE55Aa542038a619e17ED42002EB7A5D247,fUniV3_fCASH_USDC,0x50dCcf8F83CCE8aA9168637c2Ec0114ae934F6d1,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,UMA,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,,
USDC,USDC,0x4F7c28cCb0F1Dbd1388209C67eEc234273C878Bd,fUSDC,0xf0358e8c3CD5Fa238a29301d0bEa3D63A17bEdBE,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
DAI,DAI,0x15d3A64B2d5ab9E152F16593Cdebc4bB165B5B4A,fDAI,0xab7FA2B2985BCcfC13c6D86b1D5A17486ab1e04C,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
USDT,USDT,0x6ac4a7ab91e6fd098e13b7d347c6d4d1494994a2,fUSDT,0x053c80eA73Dc6941F518a68E2FC52Ac45BDE7c9C,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:USDP,crvUSDP,0x15AEB9B209FEC67c672dBF5113827daB0b80f390,fusdp3CRV,0x02d77f6925f4ef89EE2C35eB3dD5793f5695356f,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
CRV:HBTC,crvHBTC,0x01f9CAaD0f9255b0C0Aa2fBD1c1aA06ad8Af7254,fhCRV,0xCC775989e76ab386E9253df5B0c0b473E22102E2,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:OBTC,crvOBTC,0x91B5cD52fDE8dbAC37C95ECafEF0a70bA4c182fC,foBTC/sbtcCRV,0x966A70A4d3719A6De6a94236532A0167d5246c72,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:TBTC,TBTCMixed,0x017eC1772A45d2cf68c429A820eF374f0662C57c,ftbtc/sbtcCrv,0x640704D106E79e105FDA424f05467F005418F1B5,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:RENWBTC,CRVRENWBTC,0xA3Cf8D1CEe996253FAD1F8e3d68BDCba7B3A3Db5,fcrvRenWBTC,0x9aA8F427A17d6B0d91B6262989EdC7D45d6aEdf8,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
WBTC,WBTC,0x917d6480Ec60cBddd6CbD0C8EA317Bcc709EA77B,fWBTC,0x5d9d25c7C457dD82fc8668FFC6B9746b674d4EcB,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:STETH,crvSTETH,0x2E25800957742C52b4d69b65F9C67aBc5ccbffe6,fsteCRV,0xc27bfE32E0a934a12681C1b35acf0DBA0e7460Ba,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-MVI,ETH-MVI,0x079158BECA3c0ee6aE44B43357c6317E339DdC69,fUNI-V2,0x5EA74C6AbF0e523fdecFE218CCb3d2fDe2339613,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
KXUSD-DAI,KLONDIKE_KXUSD_DAI,0x8e54bB5e1411Be9c776b17B0cD267F2955377E32,fUNI-V2,0x26193024f481aA987FC5230E107F1651b3e01741,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
ETH-SUSHI,SUSHI-SUSHI-ETH,0x16fBb193f99827C92A4CC22EFe8eD7390465BFa3,fSLP,0x5aDe382F38A09A1F8759D06fFE2067992ab5c78e,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-PERP,SUSHI-ETH-PERP,0x6Dc8Be78e95480e5566138429089D4ca589f5A34,fSLP,0x230D3E848d04516826067aCb08Fa6c5A552D3E62,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
ETH-DAI,SUSHI-ETH-DAI,0x76Aef359a33C02338902aCA543f37de4b01BA1FA,fSLP,0x203E97aa6eB65A1A02d9E80083414058303f241E,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-USDC,SUSHI-ETH-USDC,0x6B4e1E0656Dd38F36c318b077134487B9b0cf7a6,fSLP,0x01bd09A1124960d9bE04b638b142Df9DF942b04a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-USDT,SUSHI-ETH-USDT,0xA56522BCA0A09f57B85C52c0Cc8Ba1B5eDbc64ef,fSLP,0x64035b583c8c694627A199243E863Bb33be60745,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-WBTC,SUSHI-ETH-WBTC,0xE2D9FAe95f1e68afca7907dFb36143781f917194,fSLP,0x5C0A3F55AAC52AA320Ff5F280E77517cbAF85524,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-UST,SUSHI-ETH-UST,0x59eeb34065dB1621c68d26f37ffEFf3A89E5FA8b,fSLP,0x4D4D85c6a1ffE6Bb7a1BEf51c9E2282893feE521,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
SUSHI HODL,SUSHI_HODL,0xf550804Ebd6f89CdC9EC8E92CE8DE91A2F64a82E,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
ETH-DAI HODL,SUSHI-ETH-DAI-HODL,0xF5833723b150929D1Fddf785ED9D92eEe722387d,fSLP,0x29EC64560ab14d3166222Bf07c3F29c4916E0027,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-USDC HODL,SUSHI-ETH-USDC-HODL,0x378C314028071C92efE15d6990B6cf93594fCB9D,fSLP,0x5774260CcD87F4FfFc4456260857207fc8BCb89A,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-USDT HODL,SUSHI-ETH-USDT-HODL,0x0c67FBa277A3FE1B0a792ef5bc798cBbDA15a7f5,fSLP,0x4D4B6f8EFb685b774234Fd427201b3a9bF36ffc8,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-WBTC HODL,SUSHI-ETH-WBTC-HODL,0x08aA65118996eaa61372B65978Cfa684F2C749b2,fSLP,0xB677bcA369f2523F62862F88d83471D892dD55B9,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,fSUSHI,0x274AA8B58E8C57C4e347C8768ed853Eb6D375b48,,
ETH-DAI,1INCH-ETH-DAI,0xDa5E9706274D88bbf1bD1877a9b462fC40cDcfAd,f1LP-ETH-DAI,0x8e53031462E930827a8d482e7d80603B1f86e32d,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-USDC,1INCH-ETH-USDC,0x9a9A6148f7b0A9767AC1fdC67343D1e3E219FdDf,f1LP-ETH-USDC,0xD162395C21357b126C5aFED6921BC8b13e48D690,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-USDT,1INCH-ETH-USDT,0x2A80e0B572e7EF61Ef81EF05eC024e1e52Bd70BD,f1LP-ETH-USDT,0x4bf633A09bd593f6fb047Db3B4C25ef5B9C5b99e,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
ETH-WBTC,1INCH-ETH-WBTC,0x747318Cf3171D4E2a1A52bBD3Fcc9f9c690448B4,f1LP-ETH-WBTC,0x859222DD0B249D0ea960F5102DaB79B294d6874a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MUSE-ETH,MUSE-ETH,0x743BD82331CAe227Fa2c8c97f345A6846f8383b1,fUNI-V2,0xc45d471c77ff31C39474d68a5080Fe1FfACDBC04,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
DUDES20-ETH,DUDES20-ETH,0x3B808A7d8CCdF8893d1360ff421beF4440376842,fUNI-V2,0x1E5f4e7127ea3981551D2Bf97dCc8f17a4ECEbEf,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MASK20-ETH,MASK20-ETH,0xC5fc56779b5925218D2Cdac093d0bFc6de7Cc2D1,fUNI-V2,0xF2a671645D0DF54d2f03E9ad7916c8F7368D1C29,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MCAT20-ETH,MOONCAT20-ETH,0xE7E1C3624188052a2367B63048a32A7429980113,fUNI-V2,0x0cA19915439C12B16C0A8C119eC05fA801365a15,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
CRV:HUSD,crvHUSD,0x72C50e6FD8cC5506E166c273b6E814342Aa0a3c1,fhusd3CRV,0x29780C39164Ebbd62e9DDDE50c151810070140f2,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
YCRV,YCRV,0x6D1b6Ea108AA03c6993d8010690264BA96D349A8,fyDAI+yUSDC+yUSDT+yTUSD,0x0FE4283e0216F94f5f9750a7a11AC54D3c9C38F3,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
3CRV,ThreePool,0x27F12d1a08454402175b9F0b53769783578Be7d9,f3Crv,0x71B9eC42bB3CB40F017D8AD8011BE8e384a95fa5,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:COMPOUND,crvCOMPOUND,0xC0f51a979e762202e9BeF0f62b07F600d0697DE1,fcDAI+cUSDC,0x998cEb152A42a3EaC1f555B1E911642BeBf00faD,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:BUSD,crvBUSD,0x093C2ae5E6F3D2A897459aa24551289D462449AD,fyDAI+yUSDC+yUSDT+yBUSD,0x4b1cBD6F6D8676AcE5E412C78B7a59b4A1bbb68a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:USDN,crvUSDN,0xef4Da1CE3f487DA2Ed0BE23173F76274E0D47579,fusdn3CRV,0x683E683fBE6Cf9b635539712c999f3B3EdCB8664,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:EURS,crvEURS,0xf4d50f60D53a230abc8268c6697972CB255Cd940,feursCRV,0x6eb941BD065b8a5bd699C5405A928c1f561e2e5a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:GUSD,crvGUSD,0x538613A19Eb84D86a4CcfcB63548244A52Ab0B68,fgusd3CRV,0xB8671E33fcFC7FEA2F7a3Ea4a117F065ec4b009E,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
CRV:UST,crvUST,0xDdb5D3CCd968Df64Ce48b577776BdC29ebD3120e,fust3CRV,0x84A1DfAdd698886A614fD70407936816183C0A02,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MEME20-ETH,MEME20-ETH,0x269FA8c40062692CFD5494e5ec7daD64745b45af,fUNI-V2,0x227A46266329767cEa8883BFC81d21f1Ea0EdbB3,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
GPUNKS20-ETH,GPUNKS20-ETH,0x9b36b44C6E3BfB1aDfbe31BB7b8c4f9AF7A804Ee,fUNI-V2,0xe6e0B4294eF6a518bB702402e9842Df2a2Abf1B1,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MAAPL-UST,mirrorAAPL,0xc02d1Da469d68Adc651Dd135d1A7f6b42F4d1A57,fUNI-V2,0x11804D69AcaC6Ae9466798325fA7DE023f63Ab53,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MAMZN-UST,mirrorAMZN,0x8Dc427Cbcc75cAe58dD4f386979Eba6662f5C158,fUNI-V2,0x8334A61012A779169725FcC43ADcff1F581350B7,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MGOOGL-UST,mirrorGOOG,0xfE83a00DF3A98dE218c08719FAF7e3741b220D0D,fUNI-V2,0x07DBe6aA35EF70DaD124f4e2b748fFA6C9E1963a,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MTSLA-UST,mirrorTSLA,0x40C34B0E1bb6984810E17474c6B0Bcc6A6B46614,fUNI-V2,0xC800982d906671637E23E031e907d2e3487291Bc,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
MNFLX-UST,mirrorNFLX,0x937D4b84f139bec548b825FdCE33B172C5Bf755a,fUNI-V2,0x99C2564C9D4767C13E13F38aB073D4758af396Ae,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
MTWTR-UST,mirrorTWTR,0x677AD66025063bE55B070685E618a84FF3dd62be,fUNI-V2,0xb37c79f954E3e1A4ACCC14A5CCa3E46F226038b7,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
CRV:LINK,crvLink,0x9c6FbDBF59808CD920fDb166c25E2E9FcF708dD1,flinkCRV,0x24C562E24A4B5D905f16F2391E07213efCFd216E,iFARM,0x1571eD0bed4D987fe2b498DdBaE7DFA19519F651,,,,
DAI-BAC,BAC-DAI,0x797F1171DC5001B7A79ff7Dca68c9539329ccE48,fUNI-V2,0x6Bccd7E983E438a56Ba2844883A664Da87E4C43b,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
DAI-BASv2,DAI-BAS,0xf330891f02F8182D7D4e1A962ED0F3086D626020,fUNI-V2,0xf8b7235fcfd5A75CfDcC0D7BC813817f3Dd17858,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
FARM/ETH,FARM_WETH_LP,0x6555c79a8829b793F332f1535B0eFB1fE4C11958,UNI-V2,0x56feAccb7f750B997B36A68625C7C596F0B41A58,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
FARM/GRAIN,FARM_GRAIN_LP,0xe58f0d2956628921cdEd2eA6B195Fc821c3a2b16,UNI-V2,0xB9Fa44B0911F6D777faAb2Fa9d8Ef103f25Ddf49,FARM,0xa0246c9032bC3A600820415aE600c6388619A14D,,,,
