pool_address,pool_name,pool_symbol,token_symbol,token_address,decimals
0xbd17b1ce622d73bd438b9e658aca5996dc394b0d,pickling SushiSwap LP Token,pSLP,pSLP,0x5eff6d166d66bacbc1bf52e2c54dd391ae6b1f48,18
0xc5bddf9843308380375a611c18b50fb9341f502a,yveCRV,yveCRV-DAO,CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,18
0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,USDC,yUSDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
0x5dbcf33d8c2e976c6b560249878e6f1491bca25c,curve.fi/y,yyDAI+yUSDC+yUSDT+yTUSD,yDAI+yUSDC+yUSDT+yTUSD,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,18
0x37d19d1c4e1fa9dc47bd1ea12f742a0887eda74a,TUSD,yTUSD,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18
0xacd43e627e64355f1861cec6d3a6688b31a6f952,DAI,yDAI,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
0x2f08119c6f07c006695e079aafc638b8789faf18,USDT,yUSDT,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
0xba2e7fed597fd0e3e70f5130bcdbbfe06bb94fe1,YFI,yYFI,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18
0x2994529c0652d127b7842094103715ec5299bbed,curve.fi/busd,yyDAI+yUSDC+yUSDT+yBUSD,yDAI+yUSDC+yUSDT+yBUSD,0x3b3ac5386837dc563660fb6a0937dfaa5924333b,18
0x7ff566e1d69deff32a7b244ae7276b9f90e9d0f6,curve.fi/sbtc,ycrvRenWSBTC,crvRenWSBTC,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,18
0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,WETH,yWETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,WETH,yWETH,eth,eth,18
0x9ca85572e6a3ebf24dedd195623f188735a5179f,curve.fi/3pool,y3Crv,3Crv,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,18
0xec0d8d3ed5477106c6d4ea27d90a60e594693c90,GUSD,yGUSD,GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2
0x629c759d1e83efbf63d84eb3868b564d9521c129,curve.fi/compound,yvcDAI+cUSDC,cDAI+cUSDC,0x845838df265dcd2c412a1dc9e959c7d08537f8a2,18
0x0fcdaedfb8a7dfda2e9838564c5a1665d856afdf,curve.fi/musd,yvmusd3CRV,musd3CRV,0x1aef73d49dedc4b1778d0706583995958dc862e6,18
0xcc7e70a958917cce67b4b87a8c30e6297451ae98,curve.fi/gusd,yvgusd3CRV,gusd3CRV,0xd2967f45c4f384deea880f807be904762a3dea07,18
0x98b058b2cbacf5e99bc7012df757ea7cfebd35bc,curve.fi/eurs,yveursCRV,eursCRV,0x194ebd173f6cdace046c53eacce9b953f28411d1,18
0xe0db48b4f71752c4bef16de1dbd042b82976b8c7,mUSD,yvmUSD,mUSD,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,18
0x5334e150b938dd2b6bd040d9c4a03cff0ced3765,curve.fi/renbtc,yvcrvRenWBTC,crvRenWBTC,0x49849c98ae39fff122806c06791fa73784fb3675,18
0xfe39ce91437c76178665d64d7a2694b0f6f17fe3,curve.fi/usdn,yvusdn3CRV,usdn3CRV,0x4f3e8f405cf5afc05d68142f3783bdfe13811522,18
0xf6c9e9af314982a4b38366f4abfaa00595c5a6fc,curve.fi/ust,yvust3CRV,ust3CRV,0x94e131324b6054c0d789b190b2dac504e4361b53,18
0xa8b1cb4ed612ee179bdea16cca6ba596321ae52d,curve.fi/bbtc,yvbBTC/sbtcCRV,bBTC/sbtcCRV,0x410e3e86ef427e30b9235497143881f717d93c2a,18
0x07fb4756f67bd46b748b16119e802f1f880fb2cc,curve.fi/tbtc,yvtbtc/sbtcCrv,tbtc/sbtcCrv,0x64eda51d3ad40d56b9dfc5554e06f94e1dd786fd,18
0x7f83935ecfe4729c4ea592ab2bc1a32588409797,curve.fi/obtc,yvoBTC/sbtcCRV,oBTC/sbtcCRV,0x2fe94ea3d5d4a175184081439753de15aef9d614,18
0x123964ebe096a920dae00fb795ffbfa0c9ff4675,curve.fi/pbtc,yvpBTC/sbtcCRV,pBTC/sbtcCRV,0xde5331ac4b3630f94853ff322b66407e0d6331e8,18
0x46afc2dfbd1ea0c0760cad8262a5838e803a37e5,curve.fi/hbtc,yvhCRV,hCRV,0xb19059ebb43466c323583928285a49f558e572fd,18
0x5533ed0a3b83f70c3c4a1f69ef5546d3d4713e44,curve.fi/susd,yvcrvPlain3andSUSD,crvPlain3andSUSD,0xc25a3a3b969415c80451098fa907ec722572917f,18
0x39546945695dcb1c037c836925b355262f551f55,curve.fi/husd,yvhusd3CRV,husd3CRV,0x5b5cfe992adac0c9d48e05854b2d91c73a003858,18
0x8e6741b456a074f0bc45b8b82a755d4af7e965df,curve.fi/dusd,yvdusd3CRV,dusd3CRV,0x3a664ab939fd8482048609f652f9a0b0677337b9,18
0x03403154afc09ce8e44c3b185c82c6ad5f86b9ab,curve.fi/aave,yva3CRV,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,18
0xe625f5923303f1ce7a43acfefd11fd12f30dbca4,curve.fi/ankreth,yvankrCRV,ankrCRV,0xaa17a236f2badc98ddc0cf999abb47d47fc0a6cf,18
0xbacb69571323575c6a5a3b4f9eede1dc7d31fbc1,curve.fi/saave,yvsaCRV,saCRV,0x02d341ccb60faaf662bc0554d13778015d1b285c,18
0x1b5eb1173d2bf770e50f10410c9a96f7a8eb6e75,curve.fi/usdp,yvusdp3CRV,usdp3CRV,0x7eb40e450b9655f4b3cc4259bcc731c63ff55ae6,18
0x96ea6af74af09522fcb4c28c269c26f59a31ced6,curve.fi/link,yvlinkCRV,linkCRV,0xcee60cfa923170e4f8204ae08b4fa6a3f5656f3a,18
0xbfa4d8aa6d8a379abfe7793399d3ddacc5bbecbb,yvDAI 0.2.2,yvDAI,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
0xe2f6b9773bf3a015e2aa70741bde1498bdb9425b,yvUSDC 0.2.2,yvUSDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
0xe11ba472f74869176652c35d30db89854b5ae84d,yvHEGIC 0.3.0,yvHEGIC,HEGIC,0x584bc13c7d411c00c01a62e8019472de68768430,18
0x19d3364a399d251e894ac732651be8b0e4e85001,yvDAI 0.3.0,yvDAI,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
0x5f18c75abdae578b483e5f43f12a39cf75b973a9,yvUSDC 0.3.0,yvUSDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
0xdcd90c7f6324cfa40d7169ef80b12031770b4325,yvCurve-stETH 0.3.0,yvCurve-stETH,steCRV,0x06325440d014e39736583c165c2963ba99faf14e,18
0xcb550a6d4c8e3517a939bc79d0c7093eb7cf56b5,yvWBTC 0.3.1,yvWBTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
0x986b4aff588a109c09b50a03f42e4110e29d353f,yvCurve-sETH 0.3.2,yvCurve-sETH,eCRV,0xa3d87fffce63b53e0d54faa1cc983b7eb0b74a9c,18
0xa9fe4601811213c340e850ea305481aff02f5b28,yvWETH 0.3.2,yvWETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
0xe14d13d8b3b85af791b2aadd661cdbd5e6097db1,yvYFI 0.3.2,yvYFI,YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18
0xb8c3b7a2a618c552c23b1e4701109a9e756bab67,yv1INCH 0.3.2,yv1INCH,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18
0x27b7b1ad7288079a66d12350c828d3c00a6f07d7,yvCurve-IronBank 0.3.2,yvCurve-IronBank,ib3CRV,0x5282a4ef67d9c33135340fb3289cc1711c13638c,18
0x625b7df2fa8abe21b0a976736cda4775523aed1e,yvCurve-HBTC 0.3.3,yvCurve-HBTC,hCRV,0xb19059ebb43466c323583928285a49f558e572fd,18
0x9d409a0a012cfba9b15f6d4b36ac57a46966ab9a,yvBOOST 0.3.5,yvBOOST,yveCRV-DAO,0xc5bddf9843308380375a611c18b50fb9341f502a,18
0x8414db07a7f743debafb402070ab01a4e0d2e45e,yvCurve-sBTC 0.3.5,yvCurve-sBTC,crvRenWSBTC,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,18
0x7047f90229a057c13bf847c0744d646cfb6c9e1a,yvCurve-renBTC 0.3.5,yvCurve-renBTC,crvRenWBTC,0x49849c98ae39fff122806c06791fa73784fb3675,18
0xb4d1be44bff40ad6e506edf43156577a3f8672ec,yvCurve-sAave 0.3.5,yvCurve-sAave,saCRV,0x02d341ccb60faaf662bc0554d13778015d1b285c,18
0xe9dc63083c464d6edccff23444ff3cfc6886f6fb,yvCurve-oBTC 0.3.5,yvCurve-oBTC,oBTC/sbtcCRV,0x2fe94ea3d5d4a175184081439753de15aef9d614,18
0x3c5df3077bcf800640b5dae8c91106575a4826e6,yvCurve-pBTC 0.3.5,yvCurve-pBTC,pBTC/sbtcCRV,0xde5331ac4b3630f94853ff322b66407e0d6331e8,18
0x5fa5b62c8af877cb37031e0a3b2f34a78e3c56a6,yvCurve-LUSD 0.3.5,yvCurve-LUSD,LUSD3CRV-f,0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,18
0x8fa3a9ecd9efb07a8ce90a6eb014cf3c0e3b32ef,yvCurve-BBTC 0.3.5,yvCurve-BBTC,bBTC/sbtcCRV,0x410e3e86ef427e30b9235497143881f717d93c2a,18
0x23d3d0f1c697247d5e0a9efb37d8b0ed0c464f7f,yvCurve-tBTC 0.3.5,yvCurve-tBTC,tbtc/sbtcCrv,0x64eda51d3ad40d56b9dfc5554e06f94e1dd786fd,18
0x7da96a3891add058ada2e826306d812c638d87a7,yvUSDT 0.3.5,yvUSDT,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
0xa696a63cc78dffa1a63e9e50587c197387ff6c7e,yvWBTC 0.3.5,yvWBTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
0xb4ada607b9d6b2c9ee07a275e9616b84ac560139,yvCurve-FRAX 0.3.5,yvCurve-FRAX,FRAX3CRV-f,0xd632f22692fac7611d2aa1c0d552930d43caed3b,18
0xfbeb78a723b8087fd2ea7ef1afec93d35e8bed42,yvUNI 0.3.5,yvUNI,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
0x8ee57c05741aa9db947a744e713c15d4d19d8822,yvCurve-yBUSD 0.3.5,yvCurve-yBUSD,yDAI+yUSDC+yUSDT+yBUSD,0x3b3ac5386837dc563660fb6a0937dfaa5924333b,18
0xd6ea40597be05c201845c0bfd2e96a60bacde267,yvCurve-Compound 0.3.5,yvCurve-Compound,cDAI+cUSDC,0x845838df265dcd2c412a1dc9e959c7d08537f8a2,18
0x2a38b9b0201ca39b17b460ed2f11e4929559071e,yvCurve-GUSD 0.3.5,yvCurve-GUSD,gusd3CRV,0xd2967f45c4f384deea880f807be904762a3dea07,18
0x4b5bfd52124784745c1071dcb244c6688d2533d3,yUSD 0.3.5,yUSD,yDAI+yUSDC+yUSDT+yTUSD,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,18
0x84e13785b5a27879921d6f685f041421c7f482da,yvCurve-3pool 0.3.5,yvCurve-3pool,3Crv,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,18
0xf8768814b88281de4f532a3beefa5b85b69b9324,yvCurve-TUSD 0.3.5,yvCurve-TUSD,TUSD3CRV-f,0xecd5e75afb02efa118af914515d6521aabd189f1,18
0x6ede7f19df5df6ef23bd5b9cedb651580bdf56ca,yvCurve-BUSD 0.3.5,yvCurve-BUSD,BUSD3CRV-f,0x4807862aa8b2bf68830e4c8dc86d0e9a998e085a,18
0x30fcf7c6cdfc46ec237783d94fc78553e79d4e9c,yvCurve-DUSD 0.3.5,yvCurve-DUSD,dusd3CRV,0x3a664ab939fd8482048609f652f9a0b0677337b9,18
0x1c6a9783f812b3af3abbf7de64c3cd7cc7d1af44,yvCurve-UST 0.3.5,yvCurve-UST,ust3CRV,0x94e131324b6054c0d789b190b2dac504e4361b53,18
0x8cc94ccd0f3841a468184aca3cc478d2148e1757,yvCurve-mUSD 0.3.5,yvCurve-mUSD,musd3CRV,0x1aef73d49dedc4b1778d0706583995958dc862e6,18
0xa5ca62d95d24a4a350983d5b8ac4eb8638887396,yvsUSD 0.3.3,yvsUSD,sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18
0xf29ae508698bdef169b89834f76704c3b205aedf,yvSNX 0.3.5,yvSNX,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
0x5a770dbd3ee6baf2802d29a901ef11501c44797a,yvCurve-sUSD 0.3.5,yvCurve-sUSD,crvPlain3andSUSD,0xc25a3a3b969415c80451098fa907ec722572917f,18
0xf2db9a7c0acd427a680d640f02d90f6186e71725,yvCurve-LINK 0.3.5,yvCurve-LINK,linkCRV,0xcee60cfa923170e4f8204ae08b4fa6a3f5656f3a,18
0x3b96d491f067912d18563d56858ba7d6ec67a6fa,yvCurve-USDN 0.3.5,yvCurve-USDN,usdn3CRV,0x4f3e8f405cf5afc05d68142f3783bdfe13811522,18
0xc4daf3b5e2a9e93861c3fbdd25f1e943b8d87417,yvCurve-USDP 0.3.5,yvCurve-USDP,usdp3CRV,0x7eb40e450b9655f4b3cc4259bcc731c63ff55ae6,18
0xa74d4b67b3368e83797a35382afb776baae4f5c8,yvCurve-alUSD 0.3.5,yvCurve-alUSD,alUSD3CRV-f,0x43b4fdfd4ff969587185cdb6f0bd875c5fc83f8c,18
0xbfedbcbe27171c418cdabc2477042554b1904857,yvCurve-rETH 0.3.5,yvCurve-rETH,rCRV,0x53a901d48795c58f485cbb38df08fa96a24669d5,18
0x132d8d2c76db3812403431facb00f3453fc42125,yvCurve-ankrETH 0.3.5,yvCurve-ankrETH,ankrCRV,0xaa17a236f2badc98ddc0cf999abb47d47fc0a6cf,18
0x39caf13a104ff567f71fd2a4c68c026fdb6e740b,yvCurve-Aave 0.3.5,yvCurve-Aave,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,18
0x054af22e1519b020516d72d749221c24756385c9,yvCurve-HUSD 0.3.5,yvCurve-HUSD,husd3CRV,0x5b5cfe992adac0c9d48e05854b2d91c73a003858,18
0x25212df29073fffa7a67399acefc2dd75a831a1a,yvCurve-EURS 0.3.5,yvCurve-EURS,eursCRV,0x194ebd173f6cdace046c53eacce9b953f28411d1,18
0x671a912c10bba0cfa74cfc2d6fba9ba1ed9530b2,yvLINK 0.4.2,yvLINK,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
0x873fb544277fd7b977b196a826459a69e27ea4ea,yvRAI 0.4.2,yvRAI,RAI,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,18
0xa258c4606ca8206d8aa700ce2143d7db854d168c,yvWETH 0.4.2,yvWETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
0x3d980e50508cfd41a13837a60149927a11c03731,yvCurve-triCrypto 0.4.2,yvCurve-triCrypto,crvTricrypto,0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,18
0x80bbee2fa460da291e796b9045e93d19ef948c6a,yvCurve-Pax 0.3.5,yvCurve-Pax,ypaxCrv,0xd905e2eaebe188fc92179b6350807d8bd91db0d8,18
0x28a5b95c101df3ded0c0d9074db80c438774b6a9,yvCurve-USDT 0.3.5,yvCurve-USDT,cDAI+cUSDC+USDT,0x9fc689ccada600b6df723d9e47d84d76664a1f23,18
0x3d27705c64213a5dcd9d26880c1bcfa72d5b6b0e,yvCurve-USDK 0.3.5,yvCurve-USDK,usdk3CRV,0x97e2768e8e73511ca874545dc5ff8067eb19b787,18
0xc116df49c02c5fd147de25baa105322ebf26bd97,yvCurve-RSV 0.3.5,yvCurve-RSV,rsv3CRV,0xc2ee6b0334c261ed60c72f6054450b61b8f18e35,18
0xda816459f1ab5631232fe5e97a05bbbb94970c95,yvDAI 0.4.3,yvDAI,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
0xe537b5cc158eb71037d4125bdd7538421981e6aa,yvCurve-3Crypto 0.4.3,yvCurve-3Crypto,crv3crypto,0xc4ad29ba4b3c580e6d59105fff484999997675ff,18
0xd9788f3931ede4d5018184e198699dc6d66c1915,yvAAVE 0.4.3,yvAAVE,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
0x4a3fe75762017db0ed73a71c9a06db7768db5e66,yvCOMP 0.4.3,yvCOMP,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,18
0x6d765cbe5bc922694afe112c140b8878b9fb0390,yvSUSHI 0.4.3,yvSUSHI,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18
0xfd0877d9095789caf24c98f7cce092fa8e120775,yvTUSD 0.4.3,yvTUSD,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18
0x0d4ea8536f9a13e4fba16042a46c30f092b06aa5,yvCurve-EURT 0.4.3,yvCurve-EURT,EURT-f,0xfd5db7463a3ab53fd211b4af195c5bccc1a03890,18
